ID,Treatment_parturition_spreadsheet_on_2024_Fish_Metadata.xlsx,Treatment_fecund_spreadsheet_on_2023_2024_lab_fecun.csv,Concensus_General_Treatment,Concencus_Atresia_Or_Pregnant,Date_Of_Processing,Tank_Of_Processing,Last_Known_Treatment_on_2024_Atresiafish_Guide2.csv,Ambient_Or_OAH_on_2024_Atresiafish_Guide2.csv,Pregnant_Or_Atresia_on_2024_Atresiafish_Guide2.csv,Pregnancy_Goodness_on_2024_Atresiafish_Guide2.csv,Parturition_Date,Parturition_Type,Larvae_Survivorship,Larvae_Survivorship_Scale,Larvae_Maturity,Larvae_Maturity_Scale,Larvae_Density,Larvae_Density_Scale,Parturition_Score,Brood_Condition,Processed_For,Processed_As,Going_To_Go,Processing_Date,Injuries_To Mother,Sample_Issues,Cath_Notes,Cath_Notes_Drive_Data_Link,Bin_Notes,Fecundity_Or_Brood_Count,m_l,m_w,g_w,l_w,Sample_Usable?,Mixed_Eggs_and_Larvae_Parturition,Consensus_Mixed_Eggs_Larvae_Parturition_Sort,Consensus_Fecundity,Length_mm_at_intake,Weight_g_at_intake,Ovary_Size_Via_Ultrasound_on_2024_Fish_Metadata.xlsx,Ovary_Size_Drive_Link,Weight_Adjusted_Fecundity_Fecundity/Mean_Weight,Parturition_Score_By_Weight_Adjusted_Fecundity,Brood_Condition_By_Weight_Adjusted_Fecundity
777E2,Ambient,A,Ambient,Post Parturition,NA,NA,NA,NA,NA,NA,5/18/24,No record,No info,,No info,,Low,0,,How to handle?,Fecund info and date of parturition (no processing date),,No,NA,No,,"1x cath 4/15 stage 2.35-2.4 pic1 pic2, 1x cath 5/1 stage 3 1-2 days past otolith stage","1x cath 4/15 stage 2.35-2.4 pic1 pic2, 1x cath 5/1 stage 3 1-2 days past otolith stage",No info about parturition,22343,253,287.7,1.3,3.24,Usable,Larvae present,Larvae dead + alive,"Low (~1,000s)",240,277.6,small,"4/15, 5/1",77.66075773,,
977F5,Pre-fertilization,P,Ambient,Post Parturition,,G4,Pre-fertilization,Ambient,Post-Partuition,Full,5/18/2024,Full Parturition?,No info,,No info,,High,5,,How to handle?,Fecund info and date of parturition (no processing date),,No,NA,Yes,Tag injury. Notes say 'heavy bleeding from tag 4/8',"1x cath 4/8 stage 2.3?, 1x cath 4/24 stage 3 1-2 days past otolith stage","1x cath 4/8 stage 2.3?, 1x cath 4/24 stage 3 1-2 days past otolith stage","No parturition info, except 'spurt on 5/17, full on 5/18'.",121990.7137,274,361.3,7.68,4.2,Usable,Larvae present,Larvae dead + alive,"High (~100,000+)",271,429.9,very large,"4/8, 4/24",337.6438242,,
777AF,Gestational,G,OAH,Post Parturition,,P2,Gestational,OAH,Post-Partuition,Partial; Premature,5/23/24,No record,No info,,No info,,Low,0,,How to handle?,Fecund info and date of parturition (no processing date),,Maybe,NA,Yes,Rough handeling. Notes say 'dropped 4/8',"1x cath 4/8 stage 2.35, 1x cath 4/24 stage 2.4?","1x cath 4/8 stage 2.35, 1x cath 4/24 stage 2.4?","No parturition info, except 'Small spurt; not enough for buckets'",6249,240,242.4,2.96,1.92,Usable,Larvae present,Larvae dead + alive,"Low (~1,000s)",236,275.2,medium,"4/8, 4/24",25.77970297,,
777B0,Ambient,A,Ambient,Post Parturition,6/20/2024,G1,Ambient,Ambient,Post-Partuition,Full,06/09/24,No record,No info,,No info,,Low,0,,How to handle?,Fecund info + date of processing & parturition,,Unfert,6/20/2024,No,,"1x cath 3/24 stage 2.35, 1x cath 4/8 stage 2.3? may show signs of atresia, 1x cath 4/24 stage 2.35, 1x cath 5/30 stage 4","1x cath 3/24 stage 2.35, 1x cath 4/8 stage 2.3? may show signs of atresia, 1x cath 4/24 stage 2.35, 1x cath 5/30 stage 4",No info about parturition,25649,242,274.1,1,3.07,Usable,Larvae present,Larvae dead + alive,"Low (~1,000s)",229,265.2,large,"3/24, 4/8, 4/24, 5/30",93.57533747,,
97824,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,G4,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,"Notes say 'caudal fin damage 1/26, caudal fin damage 2/12'. ","1x cath 2/7 stage 2.35, 1x cath 3/4 stage 2+? cath damage, cath 3/18 stage 7 atresia, 1x cath stage 7 atresia","1x cath 2/7 stage 2.35, 1x cath 3/4 stage 2+? cath damage, cath 3/18 stage 7 atresia, 1x cath stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No parturition,Atresia,NA,280,485.2,"very large, 2.5 pretty soon","2/7, 3/4, 3/12, 3/18, 3/27",#VALUE!,,
97827,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,G4,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,Notes say 'caudal fin damage 1/26',"1x cath 2/7 stage 2.4, 1x cath 3/4 2.? cath damage, 1x cath 3/18 stage 7, 1x cath 3/27 stage 7 atresia","1x cath 2/7 stage 2.4, 1x cath 3/4 2.? cath damage, 1x cath 3/18 stage 7, 1x cath 3/27 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,283,528.5,"very large, 2.5 pretty soon","2/7, 3/4, 3/12, 3/18, 3/27",#VALUE!,,
777B1,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,G4,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,Notes say 'glassy eyes & slight popeye 2/21',"1x cath 2/21 stage (not on drive but I think was 2.3). 1x cath 3/18 stage 2.? possible atresia potential still, 1x cath 3/27 stage 7 atresia","1x cath 2/21 stage (not on drive but I think was 2.3). 1x cath 3/18 stage 2.? possible atresia potential still, 1x cath 3/27 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,276,438,,"2/21, 3/18, 3/27",#VALUE!,,
977F9,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,A4,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,No,,"1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+ cath damage, 1x cath 3/18 stage 7 atresia, 1x cath 3/27 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+ cath damage, 1x cath 3/18 stage 7 atresia, 1x cath 3/27 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,271,475.4,"larger, ramping up","3/12, 3/18, 3/27",#VALUE!,,
97830,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,A4,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,"Notes say 'slight drop 1/26, caudal damage 2/1'","cath 2/1 stage 2.3, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2+? cath damage, 1x cath 3/18 stage 7 atresia? one good egg, 1x cath 3/27 stage 7 atresia","cath 2/1 stage 2.3, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2+? cath damage, 1x cath 3/18 stage 7 atresia? one good egg, 1x cath 3/27 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,270,463.4,"larger, ramping up","3/12, 3/18, 3/27",#VALUE!,,
97823,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,R2,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,No,,"3x cath 2/1 tissue, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","3x cath 2/1 tissue, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,280,489,medium,"3/12, 3/18",#VALUE!,,
97836,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,R2,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,"Notes say 'dropped 1/26, color loss 3/4'","1x cath egg damage 2/7 stage 2.2, 1x cath 3/4 stage 2.? cath damage, cath 3/18","1x cath egg damage 2/7 stage 2.2, 1x cath 3/4 stage 2.? cath damage, cath 3/18",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,279,447.7,medium,"2/7, 3/4, 3/18",#VALUE!,,
9782A,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,R2,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,"Notes say 'popeye 2/7, popeye right eye 2/12, popeye right eye 3/4'","1x cath 2/7 stage 2.2, 1x cath 3/4 2.? cath damage, 1x cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.2, 1x cath 3/4 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,301,547.7,medium,"2/12, 3/4, 3/18",#VALUE!,,
97822,Atresia to be Euth,NA,Ambient,Atresia,3/29/2024,R2,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 3/29',Atresia,,3/29/2024,Yes,"Notes say 'caudal fin & peduncle damage 1/26, caudal damage & abdomen bleeding 2/2, found under cinderblock w/ no obvious injuries 2/8'","3x cath 2/2 tissue, 1x cath 2/8 stage 2.4, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","3x cath 2/2 tissue, 1x cath 2/8 stage 2.4, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,290,514.5,small/medium,"3/4, 3/18",#VALUE!,,
977F0,Atresia to be Euth,NA,OAH,Atresia,4/1/2024,P2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/1',Atresia,,4/1/2024,No,,"1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+?, 1x cath 3/18 stage 7 atresia, 1x cath 3/27 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+?, 1x cath 3/18 stage 7 atresia, 1x cath 3/27 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,275,437.3,"larger, ramping up","2/7, 2/12, 3/4, 3/12, 3/18, 3/27",#VALUE!,,
9784D,Atresia to be Euth,NA,OAH,Atresia,4/1/2024,P2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/1',Atresia,,4/1/2024,Yes,"Notes say 'left pectoral fin damage 1/26, caudal fin damage 2/1'","3x cath 2/1 tissue, 2x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, cath 3/18 stage 7 atresia","3x cath 2/1 tissue, 2x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,293,517.2,small/medium,"3/4, 3/18",#VALUE!,,
97805,Atresia to be Euth,NA,OAH,Atresia,4/1/2024,P2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/1',Atresia,* (what this mean?),4/1/2024,Yes,"Notes say 'caudal fin and peduncle damage 2/1, cloudy eye 3/24'","cath 2/1 stage 2.3, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2-?, cath 3/18 stage 7 atresia","cath 2/1 stage 2.3, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2-?, cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,303,559,medium,"2/2, 2/12, 3/4, 3/12, 3/18",#VALUE!,,
9783A,??? to be Euth,NA,OAH,Atresia,4/1/2024,P2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/1',Atresia,,4/1/2024,No,,"3x cath 2/2 tissue, 1x cath egg damage 2/8 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 pic 1 2 3 4 stage 4-5, 1x cath 3/27 stage ?","3x cath 2/2 tissue, 1x cath egg damage 2/8 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 pic 1 2 3 4 stage 4-5, 1x cath 3/27 stage ?",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,289,557.5,"very large, 2.5 soon","2/12, 3/4, 3/12, 3/18, 3/27",#VALUE!,,
97841,OAH Subset,NA,OAH,Atresia,4/1/2024,X1,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,No,,"1x cath 2/7 stage 2.3, 1x cath 3/4 2+? cath damage, 1x cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 2+? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,279,487.6,"larger, ramping up","2/7, 2/12, 3/4, 3/12, 3/18",#VALUE!,,
97825,OAH Subset,NA,OAH,Atresia,4/1/2024,X1,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,Yes,Notes say 'pelvic fin damage 3/4',"3x cath 2/1 tissue, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","3x cath 2/1 tissue, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,290,456,medium,"2/2, 3/12, 3/18",#VALUE!,,
977F3,OAH Subset,NA,OAH,Atresia,4/1/2024,X1,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,No,,"1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,289,555.3,small,"2/7, 2/12, 3/4, 3/18",#VALUE!,,
9784B,OAH Subset,NA,OAH,Atresia,4/1/2024,X1,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,No,,"1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+? cath damage, 1x cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,281,508.4,medium,"2/7, 2/12, 3/4, 3/12, 3/18",#VALUE!,,
97801,OAH Subset,NA,OAH,Atresia,4/1/2024,X2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,Yes,"Notes say 'chin damage 2/12, chin damage & pelvic fin damage 3/4'","3x cath 2/2 tissue, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","3x cath 2/2 tissue, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,300,583.8,"larger, ramping up","2/12, 3/4, 3/12, 3/18",#VALUE!,,
977FA,OAH Subset,NA,OAH,Atresia,4/1/2024,X2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,No,Notes say 'visually plump 3/4',"1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+? cath damage, cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2+? cath damage, cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,311,617.7,"larger, ramping up","2/12, 3/4, 3/12, 3/18",#VALUE!,,
97816,OAH Subset,NA,OAH,Atresia,4/1/2024,X2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,* (what this mean?),4/1/2024,Yes,"Notes say 'dropped 1/26, caudal damage 2/1'","cath 2/1 stage 2.2, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, cath 3/18 stage 7 atresia","cath 2/1 stage 2.2, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,285,488.6,medium,"2/12, 3/4, 3/18",#VALUE!,,
977FB,OAH Subset,NA,OAH,Atresia,4/1/2024,X2,OAH,OAH,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Subset processed after 2 MMR 4/1',Atresia,,4/1/2024,Yes,Notes say 'damage to snout 3/31',"1x cath 2/7 stage 2.3, 1x cath 3/4 2+? cath damage, 1x cath 3/18 1 2 stage 7","1x cath 2/7 stage 2.3, 1x cath 3/4 2+? cath damage, 1x cath 3/18 1 2 stage 7",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,305,626.3,"larger, ramping up","2/7, 2/12, 3/4, 3/12, 3/18",#VALUE!,,
97808,Atresia to be Euth,NA,Ambient,Atresia,4/3/2024,G5,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,Notes say 'popeye right eye 2/12',"1x cath egg damage 2/7 stage 2.2, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","1x cath egg damage 2/7 stage 2.2, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,286,458.1,medium,"3/12, 3/18",#VALUE!,,
977FC,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,G5,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,Notes say 'dropped 2/7',"1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,272,422,medium,"2/7, 3/4, 3/12",#VALUE!,,
9781D,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,G5,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,Notes say 'caudal and dorsal fin and lip damage 2/1',"cath 2/1 stage 2.2, 2x cath 2/8 stage 2.3, 1x cath 3/4 stage 2-? cath damage, 1x cath 3/18 stage 7 atresia","cath 2/1 stage 2.2, 2x cath 2/8 stage 2.3, 1x cath 3/4 stage 2-? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,275,478.8,small,"3/12, 3/18",#VALUE!,,
97821,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,G5,Ambient,Ambient,Atresia,Atresia,03/05/24,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024 (likely wrong),No,"Notes say 'kind of plump 3/4, euthanized 3/5/24 will not fertilize eggs this year'",1x cath 3/18 stage 7 atresia,1x cath 3/18 stage 7 atresia,"Notes say 'kind of plump 3/4, euthanized 3/5/24 will not fertilize eggs this year'",No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,303,527.7,,"2/7, 3/18",#VALUE!,,
97807,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,R3,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition,No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,Notes say 'dropped 2/7',"1x cath 2/7 stage 2.2, 1x cath 3/4 stage 2-?, 1x cath 3/18 stage 7 atresia","1x cath 2/7 stage 2.2, 1x cath 3/4 stage 2-?, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,280,486.6,small,"2/7, 3/12, 3/18",#VALUE!,,
97706,,,Ambient,Atresia,4/1/2025,R3,Ambient,Ambient,Atresia,Atresia,,,,,,,,,,,,,,,,,,,,,,,,,,,Atresia,NA,,,,,#DIV/0!,,
977EF,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,R3,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition, No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,Notes say 'dropped 1/26',"cath 2/1 stage 2.2, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2-? cath damage, 1x cath 3/18 stage 7 atresia","cath 2/1 stage 2.2, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2-? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,289,485.9,small,"2/2, 3/12, 3/18",#VALUE!,,
97844,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,R3,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition, No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,Notes say 'pelvic fin damage 2/12',"cath oil globules? 2/7 stage 2.35, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","cath oil globules? 2/7 stage 2.35, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,303,503.4,small,"2/12, 3/4, 3/18",#VALUE!,,
97820,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,A5,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition, No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,No,,"3x cath 2/2 tissue, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","3x cath 2/2 tissue, 1x cath 2/8 stage 2.2+, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,277,464.6,small,"3/4, 3/18",#VALUE!,,
977ED,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,A5,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition, No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,Yes,"Notes say 'dropped, caudal fin damage 1/26, bad caudal damage 2/8'","3x cath 2/2 tissue, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia","3x cath 2/2 tissue, 1x cath 2/8 stage 2.3, 1x cath 3/4 stage 2.? cath damage, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,273,409.9,"larger, ramping up","3/12, 3/18",#VALUE!,,
97803,Atresia to be Euth,NA,Ambient,Atresia,4/1/2025,A5,Ambient,Ambient,Atresia,Atresia,None,Atresia,No Parturition,No Parturition,No Parturtition,No Parturition,No Parturition,No Parturition,No Parturition, No Parturition,Notes say 'Processed because of atresia 4/3',Atresia,,4/3/2024,No,,"3x cath 2/1 tissue, 1x cath 2/8 stage 2.2, 1x cath 3/4 stage 2-?, 1x cath 3/18 stage 7 atresia","3x cath 2/1 tissue, 1x cath 2/8 stage 2.2, 1x cath 3/4 stage 2-?, 1x cath 3/18 stage 7 atresia",No Parturition,No Parturition,NA,NA,NA,NA,Usable,No Parturition,Atresia,NA,280,516.9,medium,"2/2, 3/4, 3/18",#VALUE!,,
